objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
7505,1.341679,0
587738947730211430,116.57844979,17.4436459,1.377375,1,0.973486,0.461693,22.120363,21.384521,19.576637,18.696144,18.128893,3.934036,1.727509,0
587738947730276866,116.74528713,17.66954261,3.457526,0,2.010239,0.049646,18.614452,17.589579,17.186262,16.934563,16.795521,4.427151,2.180787,0
587738947730407765,116.84452086,17.82343285,4.221041,0,2.303323,0.072236,19.158812,18.032969,17.45532,17.120489,16.952534,4.469145,2.277089,0
587738372741595203,116.48425654,17.73871958,2.029323,0.395714,1.313069,0.046297,18.665348,17.79468,17.504469,17.226027,17.120975,3.381555,1.584428,0
587738372741661139,116.64814766,17.79151365,2.124864,0.833001,1.554933,0.099454,20.162687,18.41552,17.493683,17.022011,16.675333,3.450557,1.529786,0
587738947730342236,116.7464935,17.69975922,2.400286E-4,0,6.209683E-5,0.906703,19.363543,19.028852,18.885183,18.999186,18.964136,1.72089,0.839379,1
587738372204659165,116.59704237,17.38789572,1.38246,1,0.963166,0.186925,21.076723,18.888912,17.553602,17.038467,16.642744,3.302797,1.494219,0
587738372204790220,116.86806697,17.4702492,5.364302,0.436982,3.035985,0.049098,18.848112,17.191982,16.355324,15.910027,15.588675,6.055805,2.842916,0
587738372741595244,116.46908677,17.78560007,3.744652,1,2.869266,0.053032,18.366894,16.44746,15.513968,15.062135,14.723749,7.287049,2.853255,0
587738372741595631,116.58354675,17.6898705,4.146115,1,2.337801,0.144505,19.446188,17.605368,16.42062,15.931798,15.526381,7.111046,2.995417,0
587738372741660840,116.65920915,17.84873569,3.410829,1,1.893032,0.099447,20.097021,17.774647,16.562544,16.002417,15.595087,7.149158,2.987297,0
587738372741660854,116.70512858,17.781652,0.082121,1,0.127917,3.26017E-4,19.394447,18.236166,18.169603,18.21184,18.249437,1.356381,0.67659,1
587738947730210998,116.51783569,17.60467737,0.142421,1,0.207079,3.23296E-4,18.09605,18.281139,18.736649,19.01816,19.388397,1.903882,0.937763,1
587738947730211356,116.55350146,17.61660089,5.088627,0.123221,3.166258,0.052573,19.487043,17.869848,17.07618,16.609621,16.277782,5.133351,2.366318,0
588016878285226419,116.60608511,17.90248314,0.081084,1,0.12766,3.78276E-4,20.876329,18.986778,17.66221,16.738287,16.229507,1.3579,0.683063,1
587738372204659393,116.69773097,17.38539277,2.863904,1,1.874722,0.113769,19.320658,17.408888,16.391546,15.945619,15.589377,5.62078,2.404663,0
587738372204790502,116.93752469,17.58760923,0.513366,1,0.518867,0.323667,19.635695,19.460897,18.92247,18.614698,18.214464,2.203435,0.995027,0
587738372741529774,116.43668623,17.61864752,0.134685,1,0.202358,4.00692E-4,17.868021,16.665976,16.495852,16.448727,16.469185,1.288934,0.65449,1
587738372741595420,116.6132857,17.72699443,2.215439,0.910078,1.269129,0.385649,22.014109,20.454048,18.626137,17.939569,17.52606,3.77699,1.680144,0
587738947730211265,116.57614087,17.48660303,1.743144,0.714693,1.343677,0.052642,19.688576,18.067997,17.196878,16.802402,16.505878,4.006806,1.815349,0
587738947730342208,116.92725076,17.68323226,2.576013,0.567888,1.895232,0.063748,18.908867,17.822199,17.429878,17.10605,16.963066,3.713357,1.758046,0
